,Klasifikasi Desa,Jenis Kelamin,Tahun,APS Formal,Kelompok Umur
415,3,3,2017,71.2,usia SMA
416,3,3,2018,71.82,usia SMA
337,3,2,2018,99.18,usia SD
228,2,2,2018,68.1,usia SMA
243,2,3,2018,98.68,usia SD
212,2,2,2018,95.04,usia SMP
259,2,3,2018,93.98,usia SMP
181,2,1,2018,65.88,usia SMA
196,2,2,2018,97.78,usia SD
353,3,2,2018,96.17,usia SMP
165,2,1,2018,92.99,usia SMP
102,1,3,2018,99.5,usia SD
118,1,3,2018,96.35,usia SMP
369,3,2,2018,72.93,usia SMA
322,3,1,2018,70.74,usia SMA
134,1,3,2018,75.9,usia SMA
149,2,1,2018,98.59,usia SD
87,1,2,2018,76.84,usia SMA
384,3,3,2018,99.11,usia SD
275,2,3,2018,66.95,usia SMA
290,3,1,2018,99.05,usia SD
71,1,2,2018,97.19,usia SMP
306,3,1,2018,94.34,usia SMP
8,1,1,2018,99.48,usia SD
55,1,2,2018,99.53,usia SD
40,1,1,2018,74.97,usia SMA
400,3,3,2018,95.23,usia SMP
24,1,1,2018,95.57,usia SMP
166,2,1,2019,92.86,usia SMP
150,2,1,2019,98.58,usia SD
182,2,1,2019,66.35,usia SMA
260,2,3,2019,93.79,usia SMP
197,2,2,2019,98.95,usia SD
72,1,2,2019,97.52,usia SMP
276,2,3,2019,67.71,usia SMA
385,3,3,2019,99.17,usia SD
88,1,2,2019,76.07,usia SMA
291,3,1,2019,99.08,usia SD
323,3,1,2019,70.89,usia SMA
135,1,3,2019,75.21,usia SMA
119,1,3,2019,96.85,usia SMP
103,1,3,2019,99.53,usia SD
370,3,2,2019,73.01,usia SMA
354,3,2,2019,96.2,usia SMP
229,2,2,2019,69.14,usia SMA
213,2,2,2019,94.74,usia SMP
244,2,3,2019,98.76,usia SD
338,3,2,2019,99.28,usia SD
25,1,1,2019,96.22,usia SMP
9,1,1,2019,99.49,usia SD
307,3,1,2019,94.69,usia SMP
41,1,1,2019,74.4,usia SMA
417,3,3,2019,71.92,usia SMA
56,1,2,2019,99.57,usia SD
401,3,3,2019,95.43,usia SMP
167,2,1,2020,93.15,usia SMP
355,3,2,2020,96.47,usia SMP
151,2,1,2020,98.72,usia SD
261,2,3,2020,94.18,usia SMP
26,1,1,2020,95.84,usia SMP
339,3,2,2020,99.32,usia SD
245,2,3,2020,98.81,usia SD
230,2,2,2020,68.95,usia SMA
214,2,2,2020,95.25,usia SMP
198,2,2,2020,98.91,usia SD
57,1,2,2020,99.69,usia SD
73,1,2,2020,97.54,usia SMP
277,2,3,2020,67.91,usia SMA
292,3,1,2020,99.1,usia SD
386,3,3,2020,99.21,usia SD
89,1,2,2020,74.65,usia SMA
324,3,1,2020,70.78,usia SMA
104,1,3,2020,99.55,usia SD
371,3,2,2020,72.13,usia SMA
120,1,3,2020,96.65,usia SMP
136,1,3,2020,74.22,usia SMA
183,2,1,2020,66.91,usia SMA
308,3,1,2020,94.63,usia SMP
42,1,1,2020,73.81,usia SMA
402,3,3,2020,95.52,usia SMP
10,1,1,2020,99.43,usia SD
418,3,3,2020,71.44,usia SMA
419,3,3,2021,70.74,usia SMA
11,1,1,2021,99.43,usia SD
293,3,1,2021,99.04,usia SD
309,3,1,2021,95.11,usia SMP
262,2,3,2021,94.23,usia SMP
246,2,3,2021,98.71,usia SD
325,3,1,2021,70.02,usia SMA
278,2,3,2021,66.54,usia SMA
184,2,1,2021,65.3,usia SMA
168,2,1,2021,93.24,usia SMP
152,2,1,2021,98.54,usia SD
356,3,2,2021,96.61,usia SMP
340,3,2,2021,99.2,usia SD
199,2,2,2021,98.89,usia SD
215,2,2,2021,95.22,usia SMP
231,2,2,2021,67.82,usia SMA
90,1,2,2021,74.26,usia SMA
387,3,3,2021,99.12,usia SD
58,1,2,2021,99.46,usia SD
74,1,2,2021,97.77,usia SMP
372,3,2,2021,71.49,usia SMA
43,1,1,2021,73.55,usia SMA
27,1,1,2021,96.59,usia SMP
403,3,3,2021,95.85,usia SMP
121,1,3,2021,97.16,usia SMP
105,1,3,2021,99.45,usia SD
137,1,3,2021,73.9,usia SMA
232,2,2,2022,71.06,usia SMA
357,3,2,2022,96.55,usia SMP
216,2,2,2022,95.74,usia SMP
200,2,2,2022,98.77,usia SD
341,3,2,2022,99.13,usia SD
75,1,2,2022,97.16,usia SMP
59,1,2,2022,99.4,usia SD
388,3,3,2022,99.01,usia SD
373,3,2,2022,74.51,usia SMA
91,1,2,2022,77.1,usia SMA
153,2,1,2022,98.66,usia SD
169,2,1,2022,93.44,usia SMP
185,2,1,2022,67.13,usia SMA
279,2,3,2022,69.04,usia SMA
263,2,3,2022,94.55,usia SMP
138,1,3,2022,75.79,usia SMA
122,1,3,2022,96.78,usia SMP
28,1,1,2022,96.42,usia SMP
44,1,1,2022,74.54,usia SMA
106,1,3,2022,99.23,usia SD
404,3,3,2022,95.81,usia SMP
310,3,1,2022,95.12,usia SMP
294,3,1,2022,98.89,usia SD
247,2,3,2022,98.71,usia SD
326,3,1,2022,71.34,usia SMA
12,1,1,2022,99.06,usia SD
420,3,3,2022,72.88,usia SMA
154,2,1,2023,98.67,usia SD
358,3,2,2023,96.88,usia SMP
280,2,3,2023,69.51,usia SMA
295,3,1,2023,99.08,usia SD
186,2,1,2023,67.98,usia SMA
170,2,1,2023,93.31,usia SMP
327,3,1,2023,71.59,usia SMA
217,2,2,2023,95.79,usia SMP
342,3,2,2023,99.17,usia SD
201,2,2,2023,98.8,usia SD
29,1,1,2023,96.47,usia SMP
248,2,3,2023,98.74,usia SD
264,2,3,2023,94.53,usia SMP
311,3,1,2023,95.12,usia SMP
13,1,1,2023,99.4,usia SD
421,3,3,2023,73.07,usia SMA
60,1,2,2023,99.44,usia SD
76,1,2,2023,97.7,usia SMP
45,1,1,2023,74.2,usia SMA
405,3,3,2023,95.99,usia SMP
92,1,2,2023,77.06,usia SMA
389,3,3,2023,99.12,usia SD
123,1,3,2023,97.08,usia SMP
139,1,3,2023,75.61,usia SMA
374,3,2,2023,74.63,usia SMA
107,1,3,2023,99.42,usia SD
233,2,2,2023,71.13,usia SMA
155,2,1,2024,98.75,usia SD
343,3,2,2024,99.22,usia SD
171,2,1,2024,93.19,usia SMP
218,2,2,2024,95.24,usia SMP
328,3,1,2024,72.61,usia SMA
202,2,2,2024,98.92,usia SD
187,2,1,2024,67.34,usia SMA
281,2,3,2024,69.59,usia SMA
296,3,1,2024,99.13,usia SD
422,3,3,2024,74.35,usia SMA
14,1,1,2024,99.41,usia SD
312,3,1,2024,95.27,usia SMP
265,2,3,2024,94.2,usia SMP
249,2,3,2024,98.83,usia SD
234,2,2,2024,71.99,usia SMA
140,1,3,2024,77.6,usia SMA
77,1,2,2024,97.95,usia SMP
390,3,3,2024,99.17,usia SD
375,3,2,2024,76.13,usia SMA
124,1,3,2024,97.38,usia SMP
359,3,2,2024,96.8,usia SMP
108,1,3,2024,99.43,usia SD
93,1,2,2024,78.87,usia SMA
61,1,2,2024,99.44,usia SD
46,1,1,2024,76.33,usia SMA
406,3,3,2024,96.02,usia SMP
30,1,1,2024,96.82,usia SMP
